ID,Priority,Feature or fix,Relative effort,Scope,Acceptance criterion,Dependencies,Source references
R01,P0,Preserve raw GSC facts,M,Separate measured query/appearance datasets; migrate or label inferred history,Input counts preserved; no fabricated measured dimension join,None,3;4;14
R02,P0,Correct AI attribution,S-M,Remove non-Web=AIO and causal CTR claims,Rich-result fixture never returns confirmed AI,R01,3;14;15
R03,P0,Unify SEO policy registry,M,Source and version playbook/scorer/tool rules; refresh deprecations,No contradictory short/full advice; all heuristics labeled,None,3;16;17;30
R04,P0,Complete audit comparison,S,Compare union of rule IDs and report coverage changes,Removed failing rule cannot imply unchanged coverage,None,4;5
R05,P0,Operation and approval registry,M,"Map every mutation to permission, approval, side effects and recovery",All mutations classified; tool confirmation distinct from human approval,None,6;31
R06,P1,Evidence ledger and claim contract,L,Retain observations with evidence IDs and typed claim results,Factual findings cite valid target-bound evidence; failed fetch stays unknown,R03;R04,1;8;19
R07,P1,Workflow-scoped evidence,M,Bind explicit workflow handles to actor/site and observations,Shared credentials cannot accidentally share evidence across workflows,R06,1;34
R08,P1,Elementor/Pro adapter,M-L,Resolve runtime conditional/responsive/global/dynamic capabilities,Unsupported control or inactive module stops plan,R06,7;11
R09,P1,Rank Math adapter,M,Verify effective metadata and schema ownership,Stored/served discrepancy surfaced; unavailable endpoint not assumed,R06,7;12;27
R10,P1,Coordinated change sets,L,Related operations on one base with dependencies and recovery,Same-page batch coherent; external concurrent edit rejected,R05;R06,1
R11,P1,Idempotency and operation status,M-L,Retry keys bound to actor/site/payload; reconcile uncertain outcomes,Retry after completed write causes no duplicate mutation,R05;R10,8;34
R12,P1,Unified crawl/index evidence,M-L,Quota-aware Inspection plus robots/sitemap/canonical/link graph,Indexed-copy and fresh HTML timestamps distinct; coverage explicit,R01;R06,19;20;21;22;23
R13,P1,Performance/browser evidence,M-L,PSI/CrUX plus existing browser tooling integrated into ledger,Missing field data stays unknown; origin fallback labeled,R06,25;26;35
R14,P2,Official AI report ingestion,M,Verify API availability; initial export import with provenance,No guessed API parameter; segment not added to Web totals,R01;R02,14;15;16
R15,P2,Polylang/optimizer adapters,M-L,Verify locale graph and cache capabilities/effects,Broken reciprocity and unresolved cache state reported,R06;R08;R09,7;13;24
R16,P2,Fact governance and drift,M-L,"Business facts, review dates, change alerts and outcomes",Unsupported clinical claim requires review; drift cites evidence,R06;R12;R13,27;28;29;30
R17,P1-P2,Connection/MCP compatibility,M-L,CAPTCHA/auth/version diagnostics; negotiated schemas; optional Abilities,Clear recovery state and tested client matrix,R05;R11,8;9;10;31;32;33
R18,P1-P2,Release/distribution controls,M-L,"CI compatibility, migrations, provenance, diagnostics and retention",Advertised compatibility backed by tests; packaged files verified,R05; adapters as introduced,6;34;37;38
